"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"World","WLD","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38240123","16734280","42350100","15023796","30148600","22125771","19119870","19188817","24418613","18673256","17462844","25199758","30984299","23725311","32541018","26393278","",
"World","WLD","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"World","WLD","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"World","WLD","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2150066249210","2206044379119","2314703682159","2363111504189","2278313323622","2231894273322","2666304952739","2911875657432","2858580719110","2854873995850","3445349903386","3721313109670","3422935051968","",
"World","WLD","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","2.34582456603163","2.44618906104788","2.26403700744743","2.39289886949858","2.60979591419909","2.78914036237585","2.7853116316099","2.90602225555059","3.12704265525759","3.24512304429933","2.95395642266083","2.82648586361424","2.89326803725433","3.02868157173891","3.31462051346609","3.34551144566392","2.98986804557482","3.0455569487914","3.0165889006378","3.04561344306722","3.36727742542695","3.70943013997517","3.67366590086996","3.69449696083208","3.84018185358063","4.11427552516264","3.55209950444531","3.53812236505067","3.88099812053611","4.08489329459319","4.17648726148225","4.69057653019713","5.22817572236034","6.5027546612786","7.1588195304975","7.53872650758788","7.72760253276246","7.47156816142381","6.62199110712775","6.23684989349921","6.99918995606495","6.81547656184865","7.44843415669733","8.16667356779913","8.64291558232662","8.96383746920032","9.13031932630789","9.61762205574565","9.94298552099281","10.44347984523","11.3352549468084","11.3397860215181","11.7838161152237","11.8707720043868","11.6016175385666","11.9905222422397","11.7799096331959","12.4995533475328","12.4684790173266","12.6002697520958","12.9657429511122","13.3171012837736","12.8186001348445","12.7469128769687","",
"World","WLD","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","3.0830514256105","2.74826798037612","2.79300346182213","2.85911289275875","2.89658964355162","2.69086956786198","2.34457909802586","2.24387946393491","1.7444230463143","1.28505005702968","1.24842867934357","1.26200947270835","1.12688968258096","1.06415547589446","1.12576730342932","1.27171307222227","1.04879589746901","1.03768356129593","1.17497943317507","1.16795678951032","1.23002224338229","1.48622343192909","1.61232649126439","1.68320690930163","1.69841371428039","1.61486786423661","1.46703427760647","1.36225899231978","1.3422893455766","1.27519108067362","1.18312283583643","1.07651559052726","1.08591910357734","1.19163268360371","1.14591174712669","1.18582334883138","1.22964443463955","1.21195993762737","1.16087683126911","1.21955495997835","1.39969822038258","1.33829392293098","1.39699070705226","1.54732215586427","1.66009379019723","1.88382310925185","2.07806284567241","2.29670000635847","2.57257196211626","2.67949689139245","2.95084779603408","3.09603024538428","3.2591346764615","3.05415698444719","3.05739100518022","3.04393512805012","3.00949544199029","3.25035402548496","3.35557966860176","3.2191535102379","2.79535842045168","3.37793966697699","3.61559133618264","3.42926053415258","",
"World","WLD","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","3.01728871478818","3.32313070772808","2.93160367629673","2.9783080918783","2.87095337282566","3.0141719335554","3.49565541024316","3.62834576329521","3.6622523582125","3.52162763752563","3.26443862134137","3.19670451429074","3.0313804508799","3.29122198833915","3.54842327106859","3.48234884929234","2.98539988806183","2.99801443707089","3.34857233675342","3.4868439386691","3.88247573549602","3.93922674227061","4.10223648073088","4.23337957385637","4.18611615849781","4.63440444370711","4.0528259859064","4.013650626487","4.55725227567993","4.69615968865516","4.64329568708526","5.22978800379588","5.87132204575774","7.11913007694533","7.43337626802171","7.90197315236059","8.00416764452934","7.63075463677036","6.24058326086062","6.29336873279241","7.57520222507247","7.70209499541499","8.2069166495052","8.9901256743286","9.21176192423921","9.46315105886263","9.59793343460397","9.77008640742445","9.97460322704695","11.3120950919654","12.5455065610287","12.8970430334296","13.3804010266296","13.8110335700223","13.6894886024691","13.9352722843006","13.8391977451962","14.8150474403801","15.1437054975749","15.193029707439","15.7915388951953","16.0515387200146","15.2655643935199","15.2173198865573","",
"World","WLD","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","4.4220762025384","4.15230945368262","3.71333370295283","3.57956470016841","3.43325654874587","3.37081473038355","3.25749499737869","2.99495868435223","3.02712862335705","3.04346670016743","2.84070835119683","2.96323812317703","3.01667632046024","3.16779953019941","4.2116772396317","5.9093228522382","6.10989755297473","6.65181033598706","6.53726541076705","6.50855261059104","6.7550306393263","8.09225112355927","8.6516170271618","7.80671943869184","6.65066780143532","5.78240440727255","4.84095301851516","4.19705963041578","4.01188900034207","3.8042180887396","3.57671701487384","3.57140993958977","3.60881099939632","3.5951109484905","3.17298024972903","2.9800294783338","2.99935121844152","2.98617953218122","3.13007999104077","2.77081727557706","2.75718871860618","3.03888470708811","3.16601547815449","3.13020162144921","3.24199576067034","3.47940451345167","3.52501899709187","3.8222121881178","4.45774654056192","4.65228117012112","4.41488848125466","4.1801786113422","4.69077517266675","4.84166641299858","4.94522038910617","5.0263099303808","4.79562892406299","4.45319738153913","4.15812902091325","4.31470737327444","4.08820175933407","3.90649999436843","4.11867289160447","4.45763771714795","",
"World","WLD","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.12528264212","14.6307315048271","14.8107726939444","14.9322429152335","15.2022061189845","14.2787137714485","14.2316531315801","13.1460089286284","12.2437151519929","13.0834406951031","12.8658670981217","11.6406596869764","11.5204520730568","11.3257989577534","11.4268899776176","11.9388938403419","12.1257639271785","12.3471196637314","12.4642739511247","12.5463109578586","13.3748372981718","13.1622108790256","11.919278649539","","",
"World","WLD","Export unit value index (2015 = 100)","TX.UVI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","96.51637337","97.39876198","107.9158524","119.7068887","128.9245123","137.5016758","149.3079551","169.4575883","150.9156898","161.6850695","184.948855","181.938781","180.8580144","177.8310197","153.9136887","147.2961462","156.4976756","167.759943","","","","","","",
